HEADER_TIME_STAMP,VALUE,HZ,DEVICE,SR,GRANGE,NAME,TYPE
2018-06-14 14:25:34.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:25:39.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:25:44.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:25:49.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:25:54.050,0.024000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:25:59.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:04.050,0.026000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:09.050,0.024000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:14.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:19.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:24.050,0.026000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:29.050,0.024000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:34.050,0.026000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:39.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:44.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:49.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:54.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:26:59.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:27:04.050,0.024000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:27:09.050,0.026000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:27:14.050,0.024000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:27:19.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:27:24.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:27:29.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:27:34.050,0.024000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:27:39.050,0.025000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
2018-06-14 14:27:44.050,0.024000000,1,Activpal,20,2,"Activpal: 20Hz, 2g",enmo
